Radical,Freq.,General standard #,,HSK 3.0,Stroke count,Character,Pronounciation,Meaning
毋 80.3,359,767,0.0006180440,3,7,每,měi,"every, each"
毋 80.3,—,6568,0.0000000000,,7,毐,ǎi,person of reprehensible morals; immoral; adulterer
毋 80.3,—,6741,0.0000000000,,8,乸,nǎ,(Cant.) feminine suffix
毋 80.4,947,1362,0.0001783787,5,9,毒,dú,"poison, venom; poisonous"
毋 80.9,2986,5754,0.0000099429,,14,毓,yù,"give birth to; bring up, educate"
比 81.0,199,105,0.0010369035,1,4,比,bǐ,"to compare, liken; comparison; than"
比 81.2,1093,409,0.0001351290,4,6,毕,bì,"end, finish, conclude; completed"
比 81.5,5054,4184,0.0000008992,,9,毖,bì,"guard against, take care; caution"
比 81.6,2534,1878,0.0000185423,7–9,10,毙,bì,kill; die violent death
毛 82.0,623,123,0.0003334401,1,4,毛,máo,"hair, fur, feathers; coarse"
毛 82.12,5075,6083,0.0000008837,,16,氅,chǎng,overcoat; down feathers
毛 82.12,6396,6120,0.0000001757,,16,氇,lu,thick rough serge from Tibet
毛 82.12,6397,6121,0.0000001757,,16,氆,pǔ,"thick, rough serge from Tibet"
毛 82.18,7576,6469,0.0000000258,,22,氍,qú,fine woollen cloth; a mat used by the emperor in worshipping god
毛 82.5,3451,1541,0.0000055916,,9,毡,zhān,"felt; rug, carpet"
毛 82.6,—,4551,0.0000000000,,10,毪,mú,serge from Tibet
毛 82.7,879,2376,0.0001983111,4,11,毫,háo,fine hair; measure of length
毛 82.8,2711,2672,0.0000146095,7–9,12,毯,tǎn,"rug, carpet, blanket"
毛 82.8,6554,7454,0.0000001344,,12,毵,sān,long feathers; scraggy
毛 82.8,7796,5194,0.0000000207,,12,毳,cuì,fine hair or fur on animals
毛 82.9,6291,5195,0.0000002067,,12,毽,jiàn,a shuttlecock
毛 82.9,7996,5512,0.0000000155,,13,毹,shū,rug
氏 83.0,1500,151,0.0000716678,7–9,4,氏,shì,"clan, family; mister"
氏 83.1,113,327,0.0017353438,3,5,民,mín,"people, subjects, citizens"
氏 83.1,4355,3548,0.0000020103,,5,氐,dī,name of an ancient tribe
氏 83.4,3060,1226,0.0000090282,7–9,8,氓,máng,people; subjects; vassals
气 84.0,217,122,0.0009854421,1,4,气,qì,"steam, vapor; KangXi radical 84"
气 84.1,7374,6511,0.0000000362,,5,氕,piē,"hydrogen-1, protium"
气 84.10,4298,5494,0.0000021602,,13,氲,yūn,life giving influences of nature; spirit of harmony; prosperity
气 84.2,3602,3600,0.0000047286,,6,氖,nǎi,neon
气 84.2,5280,3599,0.0000007235,,6,氘,dāo,deuterium
气 84.3,5050,3726,0.0000009044,,7,氚,chuān,tritium
气 84.3,6030,3725,0.0000003152,,7,氙,xiān,xenon
气 84.4,2009,1124,0.0000360096,6,8,氛,fēn,"gas, vapor, air"
气 84.5,2637,1542,0.0000159790,,9,氢,qīng,ammonia; hydrogen nitride
气 84.5,3701,4248,0.0000041343,,9,氟,fú,fluorine
气 84.5,5497,4247,0.0000005891,,9,氡,dōng,radon
气 84.6,1863,1936,0.0000434151,6,10,氧,yǎng,oxygen
气 84.6,3028,1937,0.0000095244,,10,氨,ān,ammonia; hydrogen nitride
气 84.6,3972,4550,0.0000030697,,10,氦,hài,helium
气 84.6,4841,4549,0.0000011059,,10,氤,yīn,"hanging fog, misty"
气 84.6,4914,4548,0.0000010232,,10,氩,yà,argonium
气 84.7,5279,4888,0.0000007235,,11,氪,kè,krypton
气 84.8,3013,2673,0.0000096742,,12,氯,lǜ,chlorine
气 84.8,3482,2671,0.0000054521,,12,氮,dàn,nitrogen
气 84.8,4463,5193,0.0000017519,,12,氰,qíng,cyanogen; ethane dinitrile
水 85.0,202,117,0.0010280562,1,4,水,shuǐ,"water, liquid, lotion, juice"
水 85.1,842,324,0.0002115512,2,5,永,yǒng,"long, perpetual, eternal, forever"
水 85.10,436,3005,0.0005010439,2,13,满,mǎn,"fill; full, satisfied"
水 85.10,670,3008,0.0003004847,4,13,源,yuán,"spring; source, head; surname"
水 85.10,1480,2761,0.0000739158,5,12,滑,huá,"slip, slide; slippery, polished"
水 85.10,1923,3013,0.0000410069,7–9,13,溜,liū,"slide, glide, slip; slippery"
水 85.10,1931,2767,0.0000406917,7–9,12,滋,zī,"grow, multiply, increase; thrive"
水 85.10,2062,3022,0.0000338494,7–9,13,滩,tān,"bank, a sandbar, shoal; rapids"
水 85.10,2194,3012,0.0000286454,7–9,13,溪,xī,"mountain stream, creek"
水 85.10,2278,3019,0.0000258289,7–9,13,溶,róng,"to melt, dissolve; overflowing with"
水 85.10,2282,3010,0.0000256532,7–9,13,滥,làn,"flood, overflow; excessive"
水 85.10,2454,3016,0.0000202011,7–9,13,溢,yì,"overflow, brim over; full"
水 85.10,2474,3018,0.0000196947,7–9,13,滨,bīn,"beach, sea coast; river bank"
水 85.10,2760,3011,0.0000136535,7–9,13,滔,tāo,"overflow; rushing water, a torrent"
水 85.10,2762,3017,0.0000136380,7–9,13,溯,sù,"go upstream, go against current; formerly"
水 85.10,3249,3009,0.0000072040,7–9,13,滤,lǜ,"strain out, filter"
水 85.10,3291,3020,0.0000068681,,13,溺,nì,drown; submerge in water; indulge
水 85.10,3413,3014,0.0000058242,,13,漓,lí,river in Guangxi province; water dripping
水 85.10,3534,3007,0.0000051213,,13,滇,diān,Yunnan province
水 85.10,3882,5571,0.0000033074,,13,溥,pǔ,"big, great, vast, wide; widespread"
水 85.10,3892,5967,0.0000032816,,15,滕,téng,an ancient state in Shandong province; water bursting forth
水 85.10,4234,5586,0.0000023100,,13,溟,míng,"drizzling rain; dark, obscure"
水 85.10,4407,5582,0.0000018656,,13,滦,luán,river and county in Hebei province
水 85.10,4424,5584,0.0000018398,,13,滂,pāng,torrential; voluminous
水 85.10,4522,5585,0.0000016227,,13,滓,zǐ,"sediment, lees, dregs"
水 85.10,4634,5570,0.0000014212,,13,滢,yíng,"clear, pure water; lucid; glossy"
水 85.10,4990,5579,0.0000009509,,13,溴,xiù,bromine
水 85.10,5594,5566,0.0000005323,,13,滟,yàn,"overflowing, billowing; wavy"
水 85.10,5777,5293,0.0000004238,,12,滁,chú,district in Anhui province
水 85.10,5865,5572,0.0000003773,,13,溧,lì,river in Anhui and Jiangsu provinces
水 85.10,5881,5568,0.0000003721,,13,溘,kè,"abruptly, suddenly, unexpectedly"
水 85.10,6068,5583,0.0000002997,,13,溏,táng,"pool; not hardened, semi-soft"
水 85.10,6084,5285,0.0000002894,,12,溲,sōu,"urinate; soak, drench"
水 85.10,6478,5567,0.0000001550,,13,溱,qín,river in Henan
水 85.10,6510,5573,0.0000001447,,13,溽,rù,"moist, humid, muggy"
水 85.10,6559,5576,0.0000001344,,13,溷,hùn,"privy, latrine; turbid, dirty"
水 85.10,6902,5580,0.0000000723,,13,滏,fǔ,name of a river in Hebei
水 85.10,7100,7587,0.0000000517,,13,滠,shè,river in Hubei province
水 85.10,7229,5575,0.0000000413,,13,溻,tā,wet
水 85.10,7237,5577,0.0000000413,,13,滗,bì,drain
水 85.10,—,5581,0.0000000000,,13,滃,wēng,"swelling, rising, dispersing"
水 85.10,—,6887,0.0000000000,,9,浉,shī,"Shi, name of river in Xinyang"
水 85.10,—,7059,0.0000000000,,10,涢,yún,(name of a river in Hebei)
水 85.10,—,7426,0.0000000000,,12,溚,tǎ,(Cant.) to get wet by rain; to drip
水 85.10,—,7433,0.0000000000,,12,溠,zhà,river in Hubei province
水 85.10,—,7438,0.0000000000,,12,溞,sāo,
水 85.10,—,7588,0.0000000000,,13,溍,jìn,water
水 85.10,—,7589,0.0000000000,,13,溹,suò,
水 85.10,—,7590,0.0000000000,,13,滆,gé,
水 85.10,—,7591,0.0000000000,,13,滉,huàng,deep
水 85.10,—,7592,0.0000000000,,13,溦,wēi,drizzle; (variant) valley; (variant) mold
水 85.10,—,7593,0.0000000000,,13,溵,yīn,"used in place-names, e.g. 溵水 was once the name of the Shahe River 沙河, Henan, and 溵州 was a Tang Dynasty prefecture"
水 85.10,—,7595,0.0000000000,,13,滧,xiao,
水 85.10,—,7596,0.0000000000,,13,滘,jiào,a branching river (used in place names)
水 85.10,—,7597,0.0000000000,,13,滍,zhì,
水 85.11,715,3167,0.0002707644,3,14,演,yǎn,"perform, put on; exercise"
水 85.11,1455,3164,0.0000768408,5,14,漫,màn,overflow of water; spreading
水 85.11,1542,3015,0.0000664741,5,13,滚,gǔn,turn
水 85.11,1568,3163,0.0000645361,2,14,漂,piào,"float, drift; tossed about"
水 85.11,1777,3006,0.0000484021,5,13,漠,mò,"desert; aloof, indifferent, cool"
水 85.11,1896,3165,0.0000418803,6,14,滴,dī,drip; drop of water
水 85.11,2052,3168,0.0000342474,5,14,漏,lòu,"leak, drip; funnel; hour glass"
水 85.11,2296,3161,0.0000252398,7–9,14,漆,qī,"varnish, lacquer, paint"
水 85.11,3216,3160,0.0000075296,7–9,14,潇,xiāo,sound of beating wind and rain
水 85.11,3402,3162,0.0000058862,,14,漱,shù,"gargle, rinse; wash, scour"
水 85.11,3658,5808,0.0000043875,,14,漉,lù,"filter, strain; wet, dripping"
水 85.11,3676,5807,0.0000043048,,14,漪,yī,ripples on water; swirling
水 85.11,3697,3166,0.0000041498,7–9,14,漾,yàng,"overflow; swirl, ripple; to be tosssed by waves"
水 85.11,3706,5810,0.0000041033,,14,漩,xuán,"eddy, whirlpool"
水 85.11,3813,5809,0.0000035865,,14,漳,zhāng,name of a river in Henan
水 85.11,4375,5801,0.0000019586,,14,漕,cáo,transport by water; canal transportation
水 85.11,4775,5812,0.0000011834,,14,潍,wéi,county in Shandong province
水 85.11,5088,7724,0.0000008734,,14,潆,yíng,tiny stream; swirl around
水 85.11,6054,5803,0.0000003049,,14,漯,luò,river in northern Shandong
水 85.11,6151,5802,0.0000002636,,14,滹,hū,the bank of a steam
水 85.11,6369,5805,0.0000001809,,14,潋,liàn,"waves, ripples; overflow"
水 85.11,6496,5804,0.0000001499,,14,漶,huàn,indecipherable
水 85.11,8388,7725,0.0000000103,,14,漤,lǎn,marinate in salt
水 85.11,8696,5569,0.0000000103,,13,漭,mǎng,vast; expansive
水 85.11,—,5578,0.0000000000,,13,滫,xiǔ,water in which rice has been boiled
水 85.11,—,6895,0.0000000000,,9,浐,chǎn,name of a river in Shaanxi province
水 85.11,—,7435,0.0000000000,,12,溇,lóu,
水 85.11,—,7594,0.0000000000,,13,漷,huǒ,river in Hebei province
水 85.11,—,7722,0.0000000000,,14,漹,yān,
水 85.11,—,7723,0.0000000000,,14,漖,jiào,(Cant.) a branching river (used in toponyms)
水 85.11,—,7727,0.0000000000,,14,漼,cuǐ,having the appearance of depth
水 85.11,—,7728,0.0000000000,,14,漴,zhuàng,
水 85.11,—,7730,0.0000000000,,14,漈,jì,shore; waterside
水 85.11,—,7732,0.0000000000,,14,漻,liáo,
水 85.11,—,7750,0.0000000000,,15,漦,chí,saliva; spittle; flowing downstream
水 85.12,1112,3290,0.0001315322,6,15,潜,qián,"hide; hidden, secret, latent"
水 85.12,1302,3292,0.0000957706,4,15,潮,cháo,"tide; moist, wet, damp; flow"
水 85.12,2070,3296,0.0000334722,7–9,15,潘,pān,surname; water in which rice has been rinsed; a river that flows into the Han
水 85.12,2750,3293,0.0000137723,7–9,15,潭,tán,"deep pool, lake; deep, profound"
水 85.12,2756,3299,0.0000136896,7–9,15,澄,chéng,"purify water by allowing sediment to settle; clear, pure"
水 85.12,2789,3298,0.0000131212,7–9,15,澜,lán,"overflowing; waves, ripples"
水 85.12,3365,3297,0.0000062118,,15,澈,chè,"thoroughly, completely"
水 85.12,3481,3291,0.0000054573,,15,澎,pēng,splatter
水 85.12,3739,6000,0.0000039534,7–9,15,潦,lǎo,to flood; a puddle; without care
水 85.12,4021,6004,0.0000029302,,15,潼,tóng,"high, lofty; damp"
水 85.12,4033,6005,0.0000029043,,15,潺,chán,sound of flowing water
水 85.12,4263,6176,0.0000022222,,16,潞,lù,river in northern china
水 85.12,4551,5800,0.0000015814,,14,潢,huáng,"expanse of water, lake, pond"
水 85.12,5126,5999,0.0000008372,,15,潸,shān,weep; tears flowing
水 85.12,5367,5806,0.0000006615,,14,潴,zhū,pond; a pool
水 85.12,5667,5997,0.0000004961,,15,澍,shù,"timely rain, life-giving rain"
水 85.12,6217,5998,0.0000002326,,15,澌,sī,to exhaust; to drain dry
水 85.12,7084,6001,0.0000000517,,15,潲,shào,driving rain; to sprinkle
水 85.12,7101,5811,0.0000000517,,14,澉,gǎn,to wash name of a place
水 85.12,—,6003,0.0000000000,,15,潟,xì,land impregnated with salt from the tide
水 85.12,—,7726,0.0000000000,,14,潩,yì,
水 85.12,—,7731,0.0000000000,,14,漋,lóng,
水 85.12,—,7813,0.0000000000,,15,潖,pá,name of a certain river
水 85.12,—,7814,0.0000000000,,15,潵,sǎ,name of a river in Hebei Province; to disperse water
水 85.12,—,7815,0.0000000000,,15,㵐,jué,"name of a river in Hubei Province, name of a state in ancient times"
水 85.12,—,7816,0.0000000000,,15,澂,chéng,clear and still water
水 85.12,—,7819,0.0000000000,,15,潽,pū,to boil over
水 85.12,—,7820,0.0000000000,,15,潾,lín,clear water
水 85.12,—,7821,0.0000000000,,15,潏,yù,"land reclaimed from a wetlands/river, dike/embankment/man-made island"
水 85.13,710,3379,0.0002724646,4,16,激,jī,"arouse, excite, incite; quickly"
水 85.13,1627,3295,0.0000593011,7–9,15,澳,ào,"inlet, bay; dock, bank"
水 85.13,2695,3378,0.0000148937,2,16,澡,zǎo,"wash, bathe"
水 85.13,3153,3377,0.0000081084,,16,濒,bīn,"approach, be on verge of; near"
水 85.13,4161,6174,0.0000024806,,16,濑,lài,swift current; rapids
水 85.13,4261,6178,0.0000022273,,16,澹,dàn,"calm, quiet, tranquil"
水 85.13,4313,6181,0.0000021085,,16,濂,lián,a waterfall; a river in Hunan
水 85.13,4755,6177,0.0000012196,,16,澧,lǐ,river in northern Hunan province
水 85.13,5191,6175,0.0000007855,,16,濉,suī,name of a river
水 85.13,5906,6180,0.0000003617,,16,澶,chán,"still water, placid, tranquil"
水 85.13,—,5587,0.0000000000,,13,滪,yù,place in Sichuan
水 85.13,—,6179,0.0000000000,,16,澥,xiè,a blocked stream; gulf
水 85.13,—,7903,0.0000000000,,16,濋,chǔ,name of an ancient river (in present-day Dingtao County)
水 85.13,—,7904,0.0000000000,,16,澪,líng,
水 85.13,—,7905,0.0000000000,,16,澽,jù,(name of a river in Shaanxi Province)
水 85.13,—,7906,0.0000000000,,16,澴,huán,river in Hubei province
水 85.13,—,7907,0.0000000000,,16,澭,yōng,
水 85.13,—,7908,0.0000000000,,16,澼,pì,"bleach; wash, clean"
水 85.14,4279,6294,0.0000021963,,17,濮,pú,county in Henan province
水 85.14,4566,6293,0.0000015504,,17,濡,rú,"immerse, moisten; wet, damp"
水 85.14,4757,6297,0.0000012144,,17,濯,zhuó,"wash out, rinse; cleanse"
水 85.14,5025,6296,0.0000009250,,17,濠,háo,"moat, trench, ditch"
水 85.14,5982,6295,0.0000003307,,17,濞,bì,used in place names
水 85.14,—,4347,0.0000000000,,9,浕,jìn,
水 85.14,—,7427,0.0000000000,,12,溁,yíng,
水 85.14,—,7902,0.0000000000,,16,濩,huò,"pour down, cascade down; look"
水 85.15,3195,3448,0.0000077363,7–9,18,瀑,pù,"waterfall, cascade; heavy rain"
水 85.15,—,7817,0.0000000000,,15,澛,lǔ,
水 85.15,—,8025,0.0000000000,,18,瀔,gǔ,river name in Henan province
水 85.15,—,8026,0.0000000000,,18,瀍,chán,river in Henan province
水 85.15,—,8027,0.0000000000,,18,瀌,biāo,plenty
水 85.16,3666,6412,0.0000043513,,19,瀚,hàn,"vast, wide, extensive"
水 85.16,3890,6414,0.0000032868,,19,瀛,yíng,"sea, ocean"
水 85.16,5960,6413,0.0000003462,,19,瀣,xiè,sea mist; vapor
水 85.17,7238,8067,0.0000000413,,20,瀹,yuè,"to boil; to wash, to cleanse, to soak"
水 85.17,—,8066,0.0000000000,,20,瀱,jì,
水 85.17,—,8068,0.0000000000,,20,瀼,ráng,river in Henan province; flowing
水 85.17,—,8069,0.0000000000,,20,瀵,fèn,name of a river; valley vapor
水 85.18,2077,3486,0.0000330898,7–9,20,灌,guàn,"pour; water; irrigate, flood"
水 85.18,5030,6459,0.0000009199,,21,灏,hào,"vast, large, grand, expansive"
水 85.18,—,8087,0.0000000000,,21,灈,qú,
水 85.2,312,690,0.0007142797,2,7,求,qiú,"seek; demand, request; beseech"
水 85.2,711,311,0.0002721184,1,5,汉,hàn,Chinese people; Chinese language
水 85.2,1187,309,0.0001168348,4,5,汇,huì,"concourse; flow together, gather"
水 85.2,2540,308,0.0000184182,3,5,汁,zhī,"juice, liquor, fluid, sap, gravy, sauce"
水 85.2,3163,3553,0.0000080205,,5,汀,tīng,"sandbar, beach, bank, shore"
水 85.2,5490,3595,0.0000005943,,6,凼,dàng,ditch; pool
水 85.2,6885,3612,0.0000000723,,6,汆,cuān,to parboil; hot water kettle; to boil
水 85.2,—,6515,0.0000000000,,5,氿,guǐ,spring
水 85.2,—,6516,0.0000000000,,5,汈,diāo,
水 85.2,—,6517,0.0000000000,,5,氾,fàn,"overflow, flood, inundate"
水 85.21,5624,6491,0.0000005168,,24,灞,bà,river in Shanxi province
水 85.3,577,538,0.0003596928,4,6,江,jiāng,large river; yangzi; surname
水 85.3,1405,537,0.0000811146,5,6,污,wū,"filthy, dirty, impure, polluted"
水 85.3,1490,536,0.0000724068,5,6,汗,hàn,"perspiration, sweat"
水 85.3,1618,542,0.0000600504,3,6,汤,tāng,"hot water; soup, gravy, broth"
水 85.3,1709,540,0.0000531720,5,6,池,chí,"pool, pond; moat; cistern"
水 85.3,2547,541,0.0000181030,,6,汝,rǔ,you
水 85.3,3759,539,0.0000038656,7–9,6,汛,xùn,"high water, flood tides"
水 85.3,3772,628,0.0000038139,,7,汞,gǒng,element mercury
水 85.3,3878,3623,0.0000033436,,6,汕,shàn,basket for catching fish; bamboo; Swatow (Shantou)
水 85.3,4186,3625,0.0000024237,,6,汐,xī,"night tides, evening ebb tide"
水 85.3,5283,3628,0.0000007183,,6,汊,chà,a branching stream
水 85.3,5816,3627,0.0000004031,,6,汜,sì,a stream which leaves the main branch then later returns
水 85.3,6852,3624,0.0000000775,,6,汔,qì,near
水 85.3,—,6547,0.0000000000,,6,𬇕,wàn,name of a river in Guangxi autonomous region
水 85.3,—,6548,0.0000000000,,6,汋,zhuó,to pour
水 85.4,72,867,0.0022125949,1,7,没,méi,"not, have not, none; drown, sink"
水 85.4,747,871,0.0002520464,4,7,沉,chén,"sink, submerge; addicted to"
水 85.4,848,860,0.0002096752,3,7,沙,shā,"sand, gravel, pebbles; granulated"
水 85.4,1200,861,0.0001141992,1,7,汽,qì,"steam, vapor, gas"
水 85.4,1610,868,0.0000606447,5,7,沟,gōu,"ditch, drain, narrow waterway"
水 85.4,1681,870,0.0000549239,,7,沈,chén,"sink, submerge; addicted to; surname"
水 85.4,1808,862,0.0000467536,7–9,7,沃,wò,"water, irrigate; fertile, rich"
水 85.4,1876,855,0.0000428622,7–9,7,汪,wāng,"vast, extensive, deep; surname"
水 85.4,2733,863,0.0000141496,,7,沦,lún,"be lost; sink, be submerged"
水 85.4,2734,869,0.0000141444,7–9,7,沪,hù,Shanghai; river near Shanghai
水 85.4,2746,864,0.0000138705,7–9,7,汹,xiōng,"turbulent; noisy, restless"
水 85.4,2969,858,0.0000101703,7–9,7,汰,tài,"excessive; scour, wash out"
水 85.4,3023,866,0.0000095502,7–9,7,沧,cāng,"blue, dark green; cold"
水 85.4,3025,872,0.0000095450,,7,沁,qìn,"soak into, seep in, percolate"
水 85.4,3032,857,0.0000094778,7–9,7,沛,pèi,"abundant, full, copious; sudden"
水 85.4,3309,3770,0.0000067337,,7,沌,dùn,"chaotic, confused; turbid, murky"
水 85.4,3374,3626,0.0000061136,,6,汲,jí,draw water from well; imbibe
水 85.4,3464,856,0.0000055399,7–9,7,沐,mù,"bathe, cleanse, wash, shampoo"
水 85.4,3598,859,0.0000047441,,7,沥,lì,"trickle, drip; strain; dregs"
水 85.4,3719,3779,0.0000040464,,7,汶,wèn,a river in Shandong province
水 85.4,3766,3776,0.0000038294,,7,汾,fén,river in Shanxi province
水 85.4,3787,3775,0.0000037312,,7,沂,yí,river in southeast Shandong
水 85.4,3806,3936,0.0000036123,,8,沓,dá,"connected, joined; repeated"
水 85.4,4212,3767,0.0000023462,,7,沅,yuán,name of a river in western Hunan that flows into Dongting lake
水 85.4,4342,3773,0.0000020465,,7,汩,gǔ,run swiftly
水 85.4,4359,3778,0.0000019948,,7,汴,biàn,name of a river in Henan; Henan
水 85.4,4376,3766,0.0000019534,,7,沣,fēng,river in Shanxi province
水 85.4,4487,3771,0.0000017106,7–9,7,沏,qī,infuse
水 85.4,4900,3769,0.0000010439,,7,沤,ōu,"soak, steep; sodden or soaked"
水 85.4,5089,3774,0.0000008682,,7,汨,mì,Mi(luo) river in Hunan province where Qu Yuan drowned himself; to sink; used (erroneously) for汩
水 85.4,5873,3780,0.0000003773,,7,沆,hàng,a ferry; fog; flowing
水 85.4,6433,3768,0.0000001654,,7,沔,miǎn,flood; overflowing
水 85.4,7923,3781,0.0000000207,,7,沩,wéi,name of a river in Shanxi
水 85.4,—,3772,0.0000000000,,7,沚,zhǐ,islet in stream; small sandbar
水 85.4,—,3777,0.0000000000,,7,沨,fēng,
水 85.4,—,6610,0.0000000000,,7,汧,qiān,name of a river in Shangdong; marsh; float
水 85.4,—,6611,0.0000000000,,7,汫,jǐng,"a pit, trap; the appearance of a small, meandering stream"
水 85.4,—,6612,0.0000000000,,7,𣲘,wǔ,
水 85.4,—,6613,0.0000000000,,7,𣲗,wéi,
水 85.4,—,6614,0.0000000000,,7,沄,yún,billows
水 85.4,—,6615,0.0000000000,,7,沘,bǐ,name of a river
水 85.4,—,6616,0.0000000000,,7,𬇙,pèi,an ancient name of the Taedong River in modern-day North Korea
水 85.4,—,6617,0.0000000000,,7,汭,ruì,confluence of two streams; bend
水 85.4,—,6618,0.0000000000,,7,㳇,fù,
水 85.4,—,6619,0.0000000000,,7,沇,yǎn,flowing and engulfing; brimming
水 85.5,65,1241,0.0024124357,2,8,法,fǎ,"law, rule, regulation, statute; France, French"
水 85.5,274,1264,0.0008108565,4,8,治,zhì,"govern, regulate, administer"
水 85.5,492,1252,0.0004282547,3,8,注,zhù,"concentrate, focus, direct"
水 85.5,574,1244,0.0003601321,2,8,河,hé,river; stream; yellow river
水 85.5,664,1261,0.0003041746,6,8,波,bō,"waves, breakers; undulations"
水 85.5,948,1248,0.0001781307,2,8,油,yóu,"oil, fat, grease, lard; paints"
水 85.5,951,1263,0.0001773141,7–9,8,泽,zé,"marsh, swamp; grace, brilliance"
水 85.5,1182,1250,0.0001177288,6,8,沿,yán,"follow a course, go along"
水 85.5,1271,1246,0.0001003132,4,8,泪,lèi,"tears; weep, cry"
水 85.5,1318,1771,0.0000933779,7–9,10,泰,tài,"great, exalted, superior; big"
水 85.5,1327,865,0.0000926492,5,7,泛,fàn,"to drift, float; careless, reckless"
水 85.5,1499,1258,0.0000716988,6,8,泥,ní,"mud, mire; earth, clay; plaster"
水 85.5,1641,1572,0.0000580711,4,9,泉,quán,"spring, fountain; wealth, money"
水 85.5,1721,1240,0.0000521333,4,8,浅,qiǎn,"shallow, not deep; superficial"
水 85.5,2000,1251,0.0000364127,6,8,泡,pào,"bubbles, suds; blister; soak"
水 85.5,2010,1242,0.0000359424,7–9,8,泄,xiè,leak; vent; flow; reveal
水 85.5,2043,1249,0.0000345988,7–9,8,泊,pō,anchor vessel; lie at anchor
水 85.5,2327,1262,0.0000242269,5,8,泼,pō,"pour, splash, water, sprinkle"
水 85.5,2402,1245,0.0000217101,7–9,8,沾,zhān,"moisten, wet, soak; touch"
水 85.5,2449,1253,0.0000203045,7–9,8,泣,qì,"cry, sob, weep"
水 85.5,2480,1260,0.0000195913,7–9,8,沼,zhǎo,"lake, fishpond, swamps"
水 85.5,2495,1239,0.0000192813,7–9,8,沫,mò,"froth, foam, bubbles, suds"
水 85.5,2607,1257,0.0000165268,3,8,泳,yǒng,dive; swim
水 85.5,2609,1256,0.0000164958,7–9,8,泌,mì,"to seep out, excrete"
水 85.5,2698,1259,0.0000147801,7–9,8,沸,fèi,"boil, bubble up, gush"
水 85.5,2715,1255,0.0000145527,7–9,8,泻,xiè,"drain off, leak; flow, pour down"
水 85.5,2878,1247,0.0000115191,7–9,8,沮,jǔ,"stop, prevent; defeated, dejected"
水 85.5,3492,1243,0.0000053901,7–9,8,沽,gū,buy and sell; inferior in quality
水 85.5,3800,1452,0.0000036640,,9,泵,bèng,pump
水 85.5,3936,1254,0.0000031731,,8,泞,nìng,"mud; miry, muddy, stagnant"
水 85.5,4320,4022,0.0000020981,,8,泯,mǐn,"destroy, eliminate; perish"
水 85.5,4382,4021,0.0000019379,,8,沱,tuó,"rivers, streams, waterways; flow"
水 85.5,4388,4015,0.0000019276,,8,泗,sì,mucous; nasal flow; sniffle; river in Shandong
水 85.5,4409,4023,0.0000018656,,8,泓,hóng,"clear, deep pool of water"
水 85.5,4459,4024,0.0000017674,,8,泾,jīng,name of a river
水 85.5,4604,4014,0.0000014780,,8,泅,qiú,"swim, float, wade"
水 85.5,4736,4012,0.0000012506,,8,泸,lú,river in Jiangxi province
水 85.5,4801,4013,0.0000011473,,8,泱,yāng,"great, expansive; agitated"
水 85.5,4977,4011,0.0000009664,,8,泷,lóng,raining; wet; soaked; a river in Guangdong
水 85.5,5602,4016,0.0000005271,,8,泠,líng,"nice and cool, mild and comfortable"
水 85.5,5819,,0.0000004031,,9,泶,xué,
水 85.5,5843,4019,0.0000003876,,8,泫,xuàn,"weep; cry; shine, glisten"
水 85.5,5880,4009,0.0000003721,,8,泔,gān,"water from washing rice to boil thick, as gruel"
水 85.5,5962,4020,0.0000003462,,8,泮,pàn,Zhou dynasty school; disperse; fall apart
水 85.5,6379,4010,0.0000001809,,8,沭,shù,river in Shantung
水 85.5,6610,3782,0.0000001240,,7,泐,lè,to write; to indite; veins in minerals
水 85.5,6739,4017,0.0000000982,,8,泺,luò,river in Shandong province
水 85.5,7314,4018,0.0000000362,,8,泖,mǎo,still waters; river in Jiangsu
水 85.5,7942,,0.0000000155,,8,沲,tuó,float
水 85.5,—,6719,0.0000000000,,8,泙,píng,roar
水 85.5,—,6720,0.0000000000,,8,沺,tián,turbulent
水 85.5,—,6721,0.0000000000,,8,泂,jiǒng,clear and deep (of water); wide
水 85.5,—,6722,0.0000000000,,8,泜,zhī,a river in Hebei province
水 85.5,—,6723,0.0000000000,,8,泃,jū,river in Henan
水 85.5,—,6724,0.0000000000,,8,泇,jiā,
水 85.6,219,1672,0.0009812509,2,9,活,huó,"live, exist, survive; lively"
水 85.6,360,1678,0.0006158063,3,9,济,jì,"help, aid, relieve; ferry, cross"
水 85.6,396,2080,0.0005550117,2,10,流,liú,"flow, circulate, drift; class"
水 85.6,532,1673,0.0003966326,3,9,派,pài,"school of thought, sect, branch"
水 85.6,701,1680,0.0002761131,7–9,9,洲,zhōu,continent; island; islet
水 85.6,803,1679,0.0002257938,6,9,洋,yáng,"ocean, sea; foreign; western"
水 85.6,861,1670,0.0002054324,4,9,测,cè,"measure, estimate, conjecture"
水 85.6,978,1676,0.0001675986,,9,洛,luò,river in Shanxi province; city
水 85.6,1015,1669,0.0001570975,5,9,洞,dòng,"cave, grotto; ravine; hole"
水 85.6,1247,1671,0.0001045405,1,9,洗,xǐ,"wash, rinse; clean, purify"
水 85.6,1350,1664,0.0000905718,6,9,洪,hóng,"vast, immense; flood, deluge"
水 85.6,1353,1683,0.0000902824,7–9,9,津,jīn,ferry; saliva; ford
