Radical,Freq.,General standard #,,HSK 3.0,Stroke count,Character,Pronounciation,Meaning
亅 6.7,58,1038,0.0025796467,1,8,事,shì,"affair, matter, business; to serve; accident, incident"
二 7.0,157,3,0.0013824312,1,2,二,èr,two; twice
二 7.1,40,24,0.0032584543,2,3,于,yú,"in, on, at; go to; surname"
二 7.1,1738,25,0.0000510790,5,3,亏,kuī,"lose, fail; damage; deficient"
二 7.1,—,6501,0.0000000000,,3,亍,chù,to take small steps; Korean place name
二 7.2,279,88,0.0007974821,1,4,五,wǔ,five; surname
二 7.2,692,82,0.0002816996,2,4,云,yún,"say, speak; clouds"
二 7.2,819,106,0.0002200419,3,4,互,hù,"mutually, reciprocally"
二 7.2,1431,77,0.0000783343,6,4,井,jǐng,"well, mine shaft, pit"
二 7.2,5651,3508,0.0000005013,,4,亓,qí,"(archaic form) his, her, its, their; that"
二 7.4,3874,3585,0.0000033488,,6,亘,gèn,"extend across, through; from"
二 7.5,86,1069,0.0020698692,1,8,些,xiē,"little, few; rather, somewhat"
二 7.6,3619,4062,0.0000046149,,8,亟,jí,"urgently, immediately, extremely"
亠 8.1,957,54,0.0001752780,6,3,亡,wáng,"death, destroyed; lose, perish"
亠 8.10,3495,5250,0.0000053849,,12,亵,xiè,"slight, insult, treat with disrespect"
亠 8.11,—,5539,0.0000000000,,13,亶,dǎn,"sincere; real, true; truth"
亠 8.15,1836,3427,0.0000447381,3,17,赢,yíng,"win; surplus, gain, profit"
亠 8.19,—,8097,0.0000000000,,22,亹,mén,"progress; busy, untiring; exert"
亠 8.2,3268,162,0.0000070645,,4,亢,kàng,"high, proud; violent, excessive; skilled; name"
亠 8.4,320,519,0.0007014170,2,6,交,jiāo,"mix; intersect; exchange, communicate; deliver"
亠 8.4,886,516,0.0001961716,7–9,6,亦,yì,"also, too; likewise"
亠 8.4,3179,524,0.0000078965,,6,亥,hài,12th terrestrial branch
亠 8.5,2146,3755,0.0000302061,,7,亨,hēng,"smoothly, progressing, no trouble"
亠 8.5,2360,829,0.0000229401,7–9,7,亩,mǔ,Chinese land measure; fields
亠 8.6,566,1205,0.0003681836,1,8,京,jīng,capital city
亠 8.6,1227,1206,0.0001076463,5,8,享,xiǎng,enjoy
亠 8.7,840,1621,0.0002119646,2,9,亮,liàng,"bright, brilliant, radiant, light"
亠 8.7,2002,1620,0.0000363868,7–9,9,亭,tíng,pavilion; erect
亠 8.8,5679,4613,0.0000004858,,10,亳,bó,name of district in Anhui; capital of Yin
亠 8.9,—,7219,0.0000000000,,11,𠅤,xí,surname
人 9.0,7,10,0.0096535411,1,2,人,rén,man; people; mankind; someone else
人 9.1,1057,44,0.0001441675,2,3,亿,yì,hundred million; many
人 9.10,1526,2697,0.0000692906,6,12,储,chǔ,"save money, store, reserve; heir"
人 9.10,1887,2691,0.0000426658,5,12,傅,fù,"tutor, teacher; assist; surname"
人 9.10,2558,2696,0.0000177981,6,12,傍,bàng,"by side of, beside, near, close"
人 9.10,3777,5215,0.0000038035,,12,傩,nuó,rich
人 9.10,3836,5208,0.0000034728,,12,傣,dǎi,the Dai minority living in South China
人 9.10,3946,4908,0.0000031317,,11,傀,guī,"great, gigantic; puppet"
人 9.10,4829,5212,0.0000011163,,12,傥,tǎng,"if, supposing, in case"
人 9.10,5289,5209,0.0000007183,,12,傈,lì,tribe
人 9.10,5738,5213,0.0000004444,,12,傧,bīn,entertain guests
人 9.10,—,7392,0.0000000000,,12,傃,sù,
人 9.10,—,7393,0.0000000000,,12,傉,nù,
人 9.10,—,7395,0.0000000000,,12,傒,xī,personal name; servant
人 9.10,—,7396,0.0000000000,,12,傕,jué,used in old names
人 9.11,1960,2690,0.0000387744,6,12,傲,ào,"proud, haughty, overbearing"
人 9.11,1989,2960,0.0000370380,5,13,傻,shǎ,"foolish, silly, stupid; an imbecile"
人 9.11,2064,2959,0.0000337874,7–9,13,催,cuī,"press, urge"
人 9.11,6311,7547,0.0000002015,,13,傺,chì,to hinder; to detain
人 9.11,—,7549,0.0000000000,,13,僇,lù,humiliate; treat with contempt
人 9.12,294,2961,0.0007508423,2,13,像,xiàng,"a picture, image, figure; to resemble"
人 9.12,2013,3127,0.0000357615,7–9,14,僧,sēng,"Buddhist priest, monk; san of Sanskrit sangha"
人 9.12,2234,3126,0.0000272759,7–9,14,僚,liáo,"companion, colleague; officials; bureaucracy; a pretty face"
人 9.12,3820,5758,0.0000035555,,14,僭,jiàn,"assume, usurp"
人 9.12,4523,5760,0.0000016227,,14,僮,tóng,"page, boy servant"
人 9.12,4739,5755,0.0000012455,,14,僖,xī,"joy, gladness, delight; surname"
人 9.12,5386,5757,0.0000006563,,14,僳,sù,minority name
人 9.12,5438,7694,0.0000006253,,14,僦,jiù,to heir; to rent
人 9.12,6121,7693,0.0000002739,,14,僬,jiāo,clever; alert in mind pigmies
人 9.12,—,5671,0.0000000000,,14,僰,bó,ancient aboriginal tribe
人 9.12,—,7695,0.0000000000,,14,僔,zǔn,"to congregate, to crowd"
人 9.12,—,7696,0.0000000000,,14,僎,zhuàn,collect
人 9.13,2333,3269,0.0000241235,7–9,15,僵,jiāng,"stiff and motionless, stock still"
人 9.13,2827,3271,0.0000123563,7–9,15,僻,pì,"out-of-the-way, remote; unorthodox"
人 9.13,4519,5756,0.0000016330,,14,儆,jǐng,warn; warning
人 9.13,5810,5961,0.0000004083,,15,儋,dān,a small jar; to bear a burden; a load of two
人 9.13,6574,7792,0.0000001292,,15,儇,xuān,"clever, nimble"
人 9.14,2006,3361,0.0000361956,7–9,16,儒,rú,Confucian scholar
人 9.15,3992,6262,0.0000030025,,17,儡,lěi,"puppet, dummy"
人 9.15,—,7954,0.0000000000,,17,儦,biāo,milling
人 9.17,—,8039,0.0000000000,,19,儳,chán,obstinate; stupid; uneven; mix
人 9.17,—,8040,0.0000000000,,19,儴,ráng,
人 9.2,98,142,0.0019118879,1,4,从,cóng,"from, by, since, whence, through"
人 9.2,156,129,0.0013843072,1,4,什,shén,"file of ten soldiers; mixed, miscellaneous"
人 9.2,336,144,0.0006543740,1,4,今,jīn,"now, today, modern era"
人 9.2,494,136,0.0004275312,3,4,仅,jǐn,"only, merely, solely, just"
人 9.2,601,135,0.0003487783,3,4,仍,réng,"yet, still, as ever; again; keep -ing, continuing"
人 9.2,831,140,0.0002157526,1,4,介,jiè,"forerunner, herald, harbinger; to lie between; sea shell; to wear armor"
人 9.2,1360,128,0.0000892126,7–9,4,仁,rén,"humaneness, benevolence, kindness"
人 9.2,1536,133,0.0000677919,7–9,4,仇,chóu,"enemy, hate, hatred, enmity"
人 9.2,1812,131,0.0000463866,7–9,4,仆,pū,"fall forward; lie prostrate, prone; servant"
人 9.2,1882,149,0.0000427640,6,4,仓,cāng,granary; berth; sea
人 9.2,2139,143,0.0000303973,,4,仑,lún,"logical reasons, logical order"
人 9.2,4282,3513,0.0000021912,,4,仄,zè,"slanting, oblique; oblique tones"
人 9.2,4973,3515,0.0000009664,,4,仃,dīng,"lonely, solitary"
